timestamp,user_id,device,location,impressions,clicks,revenue,campaign,publisher,browser,ctr,revenue_per_impressions,revenue_per_click,hour,day_of_the_week,is_weekend,date
2026-01-24 12:33:10,724,mobile,Srbija,7,0,0.0,1,34,Firefox,0.0,0.0,0.0,12,Saturday,True,2026-01-24
2026-01-30 22:05:29,1174,mobile,Srbija,4,0,0.0,1,48,Firefox,0.0,0.0,0.0,22,Friday,False,2026-01-30
2026-01-21 19:13:46,2752,desktop,Makedonija,4,1,0.48,1,74,Edge,0.25,0.12,0.48,19,Wednesday,False,2026-01-21
2026-01-31 16:05:00,4998,desktop,Srbija,8,0,0.0,9,32,Edge,0.0,0.0,0.0,16,Saturday,True,2026-01-31
2026-02-14 08:44:25,2942,mobile,Srbija,8,0,0.0,7,34,Edge,0.0,0.0,0.0,8,Saturday,True,2026-02-14
2026-02-07 08:30:31,4341,mobile,Crna Gora,3,0,0.0,10,56,Edge,0.0,0.0,0.0,8,Saturday,True,2026-02-07
2026-02-04 04:02:24,741,tablet,Srbija,7,0,0.0,7,11,Brave,0.0,0.0,0.0,4,Wednesday,False,2026-02-04
2026-02-17 21:19:42,3227,mobile,Srbija,4,0,0.0,15,1,Opera,0.0,0.0,0.0,21,Tuesday,False,2026-02-17
2026-02-03 17:47:04,2583,mobile,Crna Gora,8,0,0.0,6,41,Edge,0.0,0.0,0.0,17,Tuesday,False,2026-02-03
2026-01-26 19:09:51,3340,desktop,Hrvatska,4,2,2.29,1,66,Chrome,0.5,0.5725,1.145,19,Monday,False,2026-01-26
2026-02-15 01:13:45,1201,mobile,Srbija,2,0,0.0,8,41,Firefox,0.0,0.0,0.0,1,Sunday,True,2026-02-15
2026-02-07 22:03:14,960,desktop,Srbija,6,0,0.0,1,61,Firefox,0.0,0.0,0.0,22,Saturday,True,2026-02-07
2026-01-23 20:44:34,3528,mobile,Slovenija,6,0,0.0,18,5,Firefox,0.0,0.0,0.0,20,Friday,False,2026-01-23
2026-01-25 09:57:44,112,mobile,Crna Gora,11,0,0.0,8,93,Chrome,0.0,0.0,0.0,9,Sunday,True,2026-01-25
2026-01-29 08:04:43,4739,mobile,Bosna i Hercegovina,8,0,0.0,14,29,Chrome,0.0,0.0,0.0,8,Thursday,False,2026-01-29
2026-02-16 08:15:31,3946,mobile,Bosna i Hercegovina,5,0,0.0,2,57,Chrome,0.0,0.0,0.0,8,Monday,False,2026-02-16
2026-02-06 10:11:48,435,mobile,Makedonija,3,0,0.0,11,80,Chrome,0.0,0.0,0.0,10,Friday,False,2026-02-06
2026-01-28 15:04:15,4081,desktop,Crna Gora,3,0,0.0,12,49,Safari,0.0,0.0,0.0,15,Wednesday,False,2026-01-28
2026-02-18 13:57:51,2068,desktop,Srbija,5,0,0.0,14,65,Safari,0.0,0.0,0.0,13,Wednesday,False,2026-02-18
2026-01-24 10:47:09,2995,mobile,Srbija,6,2,0.26,15,57,Chrome,0.3333,0.0433,0.13,10,Saturday,True,2026-01-24
2026-02-03 17:55:36,1915,mobile,Crna Gora,3,0,0.0,2,16,Firefox,0.0,0.0,0.0,17,Tuesday,False,2026-02-03
2026-02-06 07:50:46,321,mobile,Crna Gora,8,0,0.0,2,22,Firefox,0.0,0.0,0.0,7,Friday,False,2026-02-06
2026-01-25 10:25:13,1854,mobile,Crna Gora,5,1,0.17,6,57,Chrome,0.2,0.034,0.17,10,Sunday,True,2026-01-25
2026-01-26 12:22:13,1059,mobile,Srbija,5,0,0.0,18,69,Safari,0.0,0.0,0.0,12,Monday,False,2026-01-26
2026-01-22 13:54:31,2038,mobile,Srbija,4,1,0.88,8,58,Firefox,0.25,0.22,0.88,13,Thursday,False,2026-01-22
2026-02-01 20:57:51,59,desktop,Bosna i Hercegovina,8,0,0.0,7,36,Chrome,0.0,0.0,0.0,20,Sunday,True,2026-02-01
2026-02-19 08:27:07,858,mobile,Bosna i Hercegovina,4,1,1.19,4,33,Chrome,0.25,0.2975,1.19,8,Thursday,False,2026-02-19
2026-02-07 15:29:52,827,mobile,Srbija,4,1,1.21,13,3,Chrome,0.25,0.3025,1.21,15,Saturday,True,2026-02-07
2026-02-14 16:06:58,4072,mobile,Srbija,4,0,0.0,6,23,Firefox,0.0,0.0,0.0,16,Saturday,True,2026-02-14
2026-02-13 03:04:31,2896,desktop,Hrvatska,3,0,0.0,1,1,Safari,0.0,0.0,0.0,3,Friday,False,2026-02-13
2026-02-18 17:05:27,2805,mobile,Bosna i Hercegovina,5,0,0.0,7,16,Chrome,0.0,0.0,0.0,17,Wednesday,False,2026-02-18
2026-02-09 08:08:51,4935,mobile,Bosna i Hercegovina,5,0,0.0,2,90,Chrome,0.0,0.0,0.0,8,Monday,False,2026-02-09
2026-02-10 05:08:43,2951,tablet,Srbija,5,1,1.29,16,70,Safari,0.2,0.258,1.29,5,Tuesday,False,2026-02-10
2026-02-08 22:56:38,777,mobile,Srbija,5,0,0.0,14,93,Chrome,0.0,0.0,0.0,22,Sunday,True,2026-02-08
2026-01-28 22:17:35,1200,mobile,Srbija,5,0,0.0,17,80,Firefox,0.0,0.0,0.0,22,Wednesday,False,2026-01-28
2026-02-06 20:38:34,3569,mobile,Srbija,6,0,0.0,13,53,Chrome,0.0,0.0,0.0,20,Friday,False,2026-02-06
2026-02-16 10:21:18,602,tablet,Hrvatska,7,0,0.0,5,88,Safari,0.0,0.0,0.0,10,Monday,False,2026-02-16
2026-02-07 06:22:51,1228,mobile,Srbija,4,0,0.0,6,6,Edge,0.0,0.0,0.0,6,Saturday,True,2026-02-07
2026-02-04 18:46:40,2251,tablet,Srbija,2,0,0.0,20,56,Brave,0.0,0.0,0.0,18,Wednesday,False,2026-02-04
2026-02-10 13:27:24,3460,mobile,Crna Gora,4,0,0.0,11,11,Opera,0.0,0.0,0.0,13,Tuesday,False,2026-02-10
2026-01-30 07:30:04,1463,desktop,Makedonija,1,0,0.0,3,33,Firefox,0.0,0.0,0.0,7,Friday,False,2026-01-30
2026-01-21 14:28:14,730,desktop,Srbija,4,1,1.51,7,65,Chrome,0.25,0.3775,1.51,14,Wednesday,False,2026-01-21
2026-02-14 02:54:48,2390,mobile,Srbija,7,0,0.0,2,87,Chrome,0.0,0.0,0.0,2,Saturday,True,2026-02-14
